id,name,EditableSynonymList_graph_id
,DP2.5,esl_20200604115458935813
,DP3,esl_20200604115458935813
,GS,esl_20200604115458935813
,PPP1R46,esl_20200604115458935813
,CVID12,esl_20200604115458935842
,EBP-1,esl_20200604115458935842
,KBF1,esl_20200604115458935842
,NF-kappa-B1,esl_20200604115458935842
,NF-kappaB,esl_20200604115458935842
,NF-kB,esl_20200604115458935842
,NF-kB1,esl_20200604115458935842
,NFkappaB,esl_20200604115458935842
,NFKB-p105,esl_20200604115458935842
,NFKB-p50,esl_20200604115458935842
,p105,esl_20200604115458935842
,p50,esl_20200604115458935842
,CAP-Rf,esl_20200604115458935902
,DBX,esl_20200604115458935902
,DDX14,esl_20200604115458935902
,DDX3,esl_20200604115458935902
,HLP2,esl_20200604115458935902
,MRX102,esl_20200604115458935902
,TOP2,esl_20200604115458935935
,TP2A,esl_20200604115458935935
,COII,esl_20200604115458935960
,MTCO2,esl_20200604115458935960
,TRDX,esl_20200604115458935984
,TRX,esl_20200604115458935984
,TRX1,esl_20200604115458935984
,erg-3,esl_20200604115458936036
,p55,esl_20200604115458936036
,F730038I15Rik,esl_20200604115458936062
,FOAP-2,esl_20200604115458936062
,p101,esl_20200604115458936062
,P101-PI3K,esl_20200604115458936062
,COE1,esl_20200604115458936089
,EBF,esl_20200604115458936089
,O/E-1,esl_20200604115458936089
,OLF1,esl_20200604115458936089
,ABP620,esl_20200604115458936117
,ACF7,esl_20200604115458936117
,LIS9,esl_20200604115458936117
,MACF,esl_20200604115458936117
,OFC4,esl_20200604115458936117
,ALPHATFEB,esl_20200604115458936145
,BHLHE35,esl_20200604115458936145
,TCFEB,esl_20200604115458936145
,CD66e,esl_20200604115458936172
,CEA,esl_20200604115458936172
,CADTK,esl_20200604115458936197
,CAKB,esl_20200604115458936197
,FADK2,esl_20200604115458936197
,FAK2,esl_20200604115458936197
,PKB,esl_20200604115458936197
,PTK,esl_20200604115458936197
,PYK2,esl_20200604115458936197
,RAFTK,esl_20200604115458936197
,PI3K-C2-gamma,esl_20200604115458936228
,PI3K-C2GAMMA,esl_20200604115458936228
,LRP-1B,esl_20200604115458936253
,LRP-DIT,esl_20200604115458936253
,LRPDIT,esl_20200604115458936253
,RNF73,esl_20200604115458936279
,CAP,esl_20200604115458936302
,HUNK1,esl_20200604115458936302
,HUNKI,esl_20200604115458936302
,MCAP,esl_20200604115458936302
,ANOP2,esl_20200604115458936329
,MAA2,esl_20200604115458936329
,MCOPS2,esl_20200604115458936329
,AGTRL1,esl_20200604115458936354
,APJ,esl_20200604115458936354
,APJR,esl_20200604115458936354
,HG11,esl_20200604115458936354
,NEDCPMD,esl_20200604115458936381
,NF,esl_20200604115458936381
,NRCAML,esl_20200604115458936381
,HCN,esl_20200604115458936407
,LINC00047,esl_20200604115458936407
,NCRNA00047,esl_20200604115458936407
,NEAT2,esl_20200604115458936407
,PRO2853,esl_20200604115458936407
,C11orf59,esl_20200604115458936436
,p18,esl_20200604115458936436
,p27RF-Rho,esl_20200604115458936436
,PDRO,esl_20200604115458936436
,Ragulator1,esl_20200604115458936436
,CDC68,esl_20200604115458936464
,FACTP140,esl_20200604115458936464
,SPT16,esl_20200604115458936464
,SPT16/CDC68,esl_20200604115458936464
,BBDS,esl_20200604115458936491
,BEK,esl_20200604115458936491
,BFR-1,esl_20200604115458936491
,CD332,esl_20200604115458936491
,CEK3,esl_20200604115458936491
,CFD1,esl_20200604115458936491
,ECT1,esl_20200604115458936491
,JWS,esl_20200604115458936491
,K-SAM,esl_20200604115458936491
,KGFR,esl_20200604115458936491
,TK14,esl_20200604115458936491
,TK25,esl_20200604115458936491
,RABIP4R,esl_20200604115458936526
,ZFYVE13,esl_20200604115458936526
,2810028N01Rik,esl_20200604115458936551
,dis3p,esl_20200604115458936551
,EXOSC11,esl_20200604115458936551
,KIAA1008,esl_20200604115458936551
,RRP44,esl_20200604115458936551
,JKAP,esl_20200604115458936579
,JSP-1,esl_20200604115458936579
,JSP1,esl_20200604115458936579
,LMW-DSP2,esl_20200604115458936579
,LMWDSP2,esl_20200604115458936579
,MKP-x,esl_20200604115458936579
,MKPX,esl_20200604115458936579
,VHX,esl_20200604115458936579
,ICF,esl_20200604115458936610
,ICF1,esl_20200604115458936610
,M.HsaIIIB,esl_20200604115458936610
,CMC1,esl_20200604115458936635
,G-ALPHA-q,esl_20200604115458936635
,GAQ,esl_20200604115458936635
,SWS,esl_20200604115458936635
,SPR2,esl_20200604115458936661
,HSPC193,esl_20200604115458936710
,HsT17436,esl_20200604115458936710
