name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonyms_graph_id,transcript_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
TGFBR1,TGFBR1,es_20200422174949958788,es_20200422174949958806,esl_20200604115459032536,es_20200604115459032536,geneInfo_gene_7046,jax_gene_7046,uniprot_P36897,omnigene_7046
TNFRSF18,TNFRSF18,es_20200423071901549272,es_20200422175011869053,esl_20200604115459032562,es_20200604115459032562,geneInfo_gene_8784,,uniprot_Q9Y5U5,omnigene_8784
TGFBR2,TGFBR2,es_20200422174952160937,es_20200422174952160955,esl_20200604115459032588,es_20200604115459032588,geneInfo_gene_7048,jax_gene_7048,uniprot_P37173,omnigene_7048
TMEM127,TMEM127,es_20200422174956356111,es_20200422174956356129,esl_20200604115459032614,es_20200604115459032614,geneInfo_gene_55654,jax_gene_55654,uniprot_O75204,omnigene_55654
TNFRSF9,TNFRSF9,es_20200423071902996115,es_20200422175015449278,esl_20200604115459032641,es_20200604115459032641,geneInfo_gene_3604,,uniprot_Q07011,omnigene_3604
TMPRSS2,TMPRSS2,es_20200422174959977589,es_20200422174959977618,esl_20200604115459032667,es_20200604115459032667,geneInfo_gene_7113,jax_gene_7113,uniprot_O15393,omnigene_7113
TNF,TNF,es_20200423071859160947,es_20200422175004127358,esl_20200604115459032694,es_20200604115459032694,geneInfo_gene_7124,jax_gene_7124,uniprot_P01375,omnigene_7124
TNFSF4,TNFSF4,es_20200423071903547395,es_20200422175018320728,esl_20200604115459032720,es_20200604115459032720,geneInfo_gene_7292,jax_gene_7292,uniprot_P23510,omnigene_7292
TNFAIP3,TNFAIP3,es_20200422175007143979,es_20200422175007143997,esl_20200604115459032747,es_20200604115459032747,geneInfo_gene_7128,jax_gene_7128,uniprot_P21580,omnigene_7128
TP63,TP63,es_20200422175033168674,es_20200422175033168692,esl_20200604115459032773,es_20200604115459032773,geneInfo_gene_8626,jax_gene_8626,uniprot_Q9H3D4,omnigene_8626
TNFRSF14,TNFRSF14,es_20200423071900652337,es_20200422175010193803,esl_20200604115459032800,es_20200604115459032800,geneInfo_gene_8764,jax_gene_8764,uniprot_Q92956,omnigene_8764
TOP1,TOP1,es_20200422175020380313,es_20200422175020380331,esl_20200604115459032827,es_20200604115459032827,geneInfo_gene_7150,jax_gene_7150,uniprot_P11387,omnigene_7150
TNFRSF4,TNFRSF4,es_20200423071902121820,es_20200422175013390373,esl_20200604115459032854,es_20200604115459032854,geneInfo_gene_7293,jax_gene_7293,uniprot_P43489,omnigene_7293
TOP2A,TOP2A,es_20200422175024007799,es_20200422175024007816,esl_20200604115459032880,es_20200604115459032880,geneInfo_gene_7153,jax_gene_7153,uniprot_P11388,omnigene_7153
TRAF2,TRAF2,es_20200422175035826618,es_20200422175035826636,esl_20200604115459032907,es_20200604115459032907,geneInfo_gene_7186,jax_gene_7186,uniprot_Q12933,omnigene_7186
XRCC2,XRCC2,es_20200422175116245857,es_20200422175116245875,esl_20200604115459032933,es_20200604115459032933,geneInfo_gene_7516,jax_gene_7516,uniprot_O43543,omnigene_7516
TP53,TP53,es_20200429160937246000,es_20200422175030548240,esl_20200604115459032960,es_20200604115459032960,geneInfo_gene_7157,jax_gene_7157,uniprot_P04637,omnigene_7157
TSC2,TSC2,es_20200501132908608000,es_20200422175048425736,esl_20200604115459032986,es_20200604115459032986,geneInfo_gene_7249,jax_gene_7249,uniprot_P49815,omnigene_7249
TRAF7,TRAF7,es_20200422175038751530,es_20200422175038751558,esl_20200604115459033022,es_20200604115459033022,geneInfo_gene_84231,jax_gene_84231,uniprot_Q6Q0C0,omnigene_84231
TSC1,TSC1,es_20200501131902846000,es_20200422175044164328,esl_20200604115459033051,es_20200604115459033051,geneInfo_gene_7248,jax_gene_7248,uniprot_Q92574,omnigene_7248
VHL,VHL,es_20200505145839436000,es_20200422175059543631,esl_20200604115459033078,es_20200604115459033078,geneInfo_gene_7428,jax_gene_7428,uniprot_P40337,omnigene_7428
XIAP,XIAP,es_20200422175111270539,es_20200422175111270556,esl_20200604115459033105,es_20200604115459033105,geneInfo_gene_331,jax_gene_331,uniprot_P98170,omnigene_331
TSHR,TSHR,es_20200422175052010128,es_20200422175052010155,esl_20200604115459033131,es_20200604115459033131,geneInfo_gene_7253,jax_gene_7253,uniprot_P16473,omnigene_7253
U2AF1,U2AF1,es_2020050515515896000,es_20200422175053665166,esl_20200604115459033158,es_20200604115459033158,geneInfo_gene_7307,jax_gene_7307,uniprot_P0DN76,omnigene_7307
XPO1,XPO1,es_20200511105715953000,es_20200422175113853760,esl_20200604115459033184,es_20200604115459033184,geneInfo_gene_7514,jax_gene_7514,uniprot_O14980,omnigene_7514
VEGFA,VEGFA,es_20200422175056224737,es_20200422175056224755,esl_20200604115459033211,es_20200604115459033211,geneInfo_gene_7422,jax_gene_7422,uniprot_P15692,omnigene_7422
VTCN1,VTCN1,es_20200422175101899932,es_20200422175101899951,esl_20200604115459033238,es_20200604115459033238,geneInfo_gene_79679,jax_gene_79679,uniprot_Q7Z7D3,omnigene_79679
CCN6,WISP3,es_20200427111913610000,es_20200422175104241995,esl_20200604115459033265,es_20200604115459033265,geneInfo_gene_8838,jax_gene_8838,uniprot_O95389,omnigene_8838
WT1,WT1,es_20200504141318908000,es_20200422175108629547,esl_20200604115459033291,es_20200604115459033291,geneInfo_gene_7490,jax_gene_7490,uniprot_P19544,omnigene_7490
