id,Author_graph_id,LiteratureReference_graph_id
,author_natarajan_a,ref_23085373
,author_borgstahl_ge,ref_23085373
,author_nadeau_s,ref_23085373
,author_feng_d,ref_23085373
,author_scheffe_s,ref_23085373
,author_bailey_ta,ref_23085373
,author_zutshi_n,ref_23085373
,author_mohapatra_b,ref_23085373
,author_arya_p,ref_23085373
,author_an_w,ref_23085373
,author_naramura_m,ref_23085373
,author_palermo_n,ref_23085373
,author_ahmad_g,ref_23085373
,author_beardsley_gp,ref_11948179
,author_bulock_kg,ref_11948179
,author_anderson_ks,ref_11948179
,author_wang_y,ref_30337562
,author_durham_tb,ref_30337562
,author_iversen_pw,ref_30337562
,author_hui_yh,ref_30337562
,author_fales_kr,ref_30337562
,author_meier_ti,ref_30337562
,author_wu_z,ref_30337562
,author_lee_mr,ref_30337562
,author_luo_s,ref_30337562
,author_roth_kd,ref_30337562
,author_dally_rd,ref_30337562
,author_brooks_hb,ref_30337562
,author_toth_jl,ref_30337562
,author_konicek_sa,ref_30337562
,author_frimpong_k,ref_30337562
,author_torrado_a,ref_30337562
,author_spencer_cd,ref_30337562
,author_wang_t,ref_30337562
,author_mc_cowan,ref_30337562
,author_njoroge_fg,ref_30337562
,author_thibodeaux_s,ref_30337562
,author_thrasher_kj,ref_30337562
,author_foreman_rt,ref_30337562
,author_si_c,ref_30337562
,author_qian_yw,ref_30337562
,author_geeganage_s,ref_30337562
,author_shepherd_ta,ref_30337562
,author_filippa_da,ref_10702393
,author_colleoni_gw,ref_10702393
,author_ladanyi_m,ref_10702393
,author_garicochea_b,ref_10702393
,author_bridge_ja,ref_10702393
,author_liu_j,ref_10702393
,author_tan_jz,ref_24362326
,author_wang_xx,ref_24362326
,author_yan_y,ref_24362326
,author_xu_he,ref_24362326
,author_jiang_y,ref_24362326
,author_lue_jk,ref_30112706
,author_amengual_je,ref_30112706
,author_safaei_s,ref_29289837
,author_talebi_m,ref_29289837
,author_hagh_mf,ref_29289837
,author_gharibi_t,ref_29289837
,author_alivand_mr,ref_29289837
,author_baradaran_b,ref_29289837
,author_solali_s,ref_29289837
,author_jiang_s,ref_30515801
,author_lu_c,ref_30515801
,author_lv_j,ref_30515801
,author_yu_y,ref_30515801
,author_yang_z,ref_30515801
,author_chen_f,ref_30515801
,author_han_y,ref_30515801
,author_li_t,ref_30515801
,author_yang_y,ref_30515801
,author_sugita_s,ref_25007147
,author_tsukahara_t,ref_25007147
,author_hama_n,ref_25007147
,author_aoyama_t,ref_25007147
,author_arai_y,ref_25007147
,author_hasegawa_t,ref_25007147
,author_tonooka_a,ref_25007147
,author_totoki_y,ref_25007147
,author_shibata_t,ref_25007147
,author_kaya_m,ref_25007147
,author_fujii_t,ref_25007147
,author_asanuma_h,ref_25007147
,author_reeves_r,ref_20919829
,author_wang_z,ref_20919829
,author_ding_g,ref_20919829
,author_magnuson_ns,ref_20919829
,author_lipkowitz_s,ref_25477533
,author_liyasova_ms,ref_25477533
,author_ma_k,ref_25477533
,author_liao_q,ref_24326135
,author_chen_f,ref_24326135
,author_huang_y,ref_24326135
,author_ye_h,ref_24326135
,author_xu_l,ref_24326135
,author_chen_c,ref_24326135
,author_ye_m,ref_24326135
,author_wang_l,ref_24326135
,author_duan_s,ref_24326135
,author_wakatsuki_k,ref_24357795
,author_migita_k,ref_24357795
,author_hamada_k,ref_24357795
,author_ito_m,ref_24357795
,author_nakajima_y,ref_24357795
,author_sho_m,ref_24357795
