id,EditableStatement_graph_id,LiteratureReference_graph_id
,es_20200519104815931000,ref_30894545
,es_20200519104815931000,ref_8157004
,es_2020051914585430000,ref_27145721
,es_2020051914585430000,ref_17308347
,es_20200519151910913000,ref_16675878
,es_20200519151910913000,ref_24910428
,es_20200520110029810000,ref_23967228
,es_20200520110029810000,ref_20940169
,es_20200520160410883000,ref_20109491
,es_20200520160410883000,ref_15197399
,es_20200529142913184000,ref_18157157
,es_20200529142913184000,ref_31747945
,es_20200529142913184000,ref_30121009
,es_20200529142913184000,ref_24333356
,es_20200422163446483067,ref_24326135
,es_20200422163446483067,ref_24357795
,es_20200422163446483067,ref_15073116
,es_20200422163446483067,ref_17611649
,es_20200422163450144415,ref_27811365
,es_20200422163450144415,ref_29845474
,es_20200422163450144415,ref_26291527
,es_20200422163450144415,ref_29118922
,es_20200422163450144415,ref_29572229
,es_20200422163500130580,ref_29190909
,es_20200422163455100730,ref_20060942
,es_20200422163455100730,ref_20196086
,es_20200422163455100730,ref_17599057
,es_20200422163453164307,ref_30425065
,es_20200422163453164307,ref_30430228
,es_20200422163453164307,ref_30472601
,es_20200422163453164307,ref_30096875
,es_20200422163448527660,ref_25228972
,es_20200422163448527660,ref_16549277
,es_20200422163448527660,ref_25040262
,es_20200422163452610988,ref_29669295
,es_20200422163459159031,ref_23134590
,es_20200422163459159031,ref_24246475
,es_20200422163500664886,ref_27755532
,es_20200422163500664886,ref_28288569
,es_20200422163500664886,ref_27919854
,es_20200422163500664886,ref_27891816
,es_20200508134627110000,ref_21640373
,es_20200508134627110000,ref_31221094
,es_20200514144608593000,ref_30521773
,es_20200514144608593000,ref_29962935
,es_2020051511094515000,ref_29249570
,es_2020051511094515000,ref_30872636
,es_20200518104813204000,ref_22160377
,es_20200518104813204000,ref_29970668
,es_20200522102813154000,ref_26022180
,es_20200422163457129630,ref_27417273
,es_20200422163457129630,ref_28748614
,es_20200422163457129630,ref_11082044
,es_20200422163457129630,ref_23129763
,es_20200422163555112696,ref_30066881
,es_20200422163555112696,ref_22242939
,es_20200422163555112696,ref_28465671
,es_20200422163555112696,ref_22350700
,es_20200422163555112696,ref_23410976
,es_20200422163555112696,ref_24908114
,es_20200422163513099613,ref_28585035
,es_20200422163513099613,ref_30645764
,es_20200422163513099613,ref_28502040
,es_20200422163513099613,ref_28494109
,es_20200422163513099613,ref_28520360
,es_20200422163511119001,ref_21771581
,es_20200422163511119001,ref_23457139
,es_20200422163511119001,ref_28284009
,es_20200422163503192290,ref_25404478
,es_20200422163503192290,ref_23807160
,es_20200422163503192290,ref_23201163
,es_20200422163509022490,ref_22927417
,es_20200422163509022490,ref_26658330
,es_20200422163509022490,ref_27708213
,es_20200422163512529472,ref_25888293
,es_20200422163507316784,ref_23459091
,es_20200422163507316784,ref_21190577
,es_20200422163507316784,ref_21850047
,es_20200422163539378042,ref_28385737
,es_20200422163539378042,ref_24470978
,es_20200422163527802584,ref_29606586
,es_20200422163527802584,ref_23055623
,es_20200422163527802584,ref_26562185
,es_20200422163535297397,ref_26717993
,es_20200422163610934846,ref_24633157
,es_20200422163610934846,ref_24451369
,es_20200422163526960863,ref_24445538
,es_20200422163534033528,ref_11875461
,es_20200422163534033528,ref_24362534
,es_20200428145145576000,ref_16129887
,es_20200506164731921000,ref_15575979
,es_20200506164731921000,ref_30092288
,es_20200506164731921000,ref_31398915
,es_20200508141754183000,ref_24658273
,es_20200508141754183000,ref_26341110
,es_20200511134010724000,ref_19641508
,es_20200511134010724000,ref_14585351
,es_20200519145317796000,ref_27145721
,es_20200519145317796000,ref_24905007
,es_20200521113904395000,ref_11420717
,es_20200521113904395000,ref_14718166
,es_20200521113904395000,ref_25288118
,es_20200521135025869000,ref_27698205
,es_20200521135025869000,ref_25003966
,es_20200522064658947000,ref_17326240
,es_20200522064658947000,ref_7504010
,es_20200526094333690000,ref_24026096
,es_20200526094333690000,ref_28068668
,es_20200528113103368000,ref_15743666
,es_20200528113103368000,ref_30799503
,es_20200422163623809784,ref_20094046
,es_20200422163623809784,ref_30405704
,es_20200422163623809784,ref_18594526
,es_20200422163623809784,ref_11598623
,es_20200422163632714138,ref_23875803
,es_20200422163632714138,ref_17055429
,es_20200422163632714138,ref_30562755
,es_20200422163632714138,ref_27283171
,es_20200422163632714138,ref_27428416
,es_20200422163540905551,ref_24359404
,es_20200422163614603431,ref_30079384
,es_20200422163614603431,ref_15575979
,es_20200422163614603431,ref_29121062
,es_20200422175749732003,ref_30308939
,es_20200422175749732003,ref_10416984
,es_20200422175749732003,ref_27583477
,es_20200422175749732003,ref_27843138
,es_20200422175749732003,ref_31568682
,es_20200422175805553828,ref_16935882
,es_20200422175805553828,ref_30745300
,es_20200422175813063830,ref_26474971
,es_20200422175813063830,ref_22563985
,es_20200422175813063830,ref_32094925
,es_20200422163849068940,ref_18987994
,es_20200422163849068940,ref_24380799
,es_20200422163849068940,ref_24816843
,es_20200422163443972002,ref_29802377
,es_20200422163443972002,ref_27286750
,es_20200422163443972002,ref_29633253
,es_20200422163443972002,ref_25701430
,es_20200422163443972002,ref_19461527
,es_20200501091116118000,ref_17525340
,es_20200501132908608000,ref_27226234
,es_20200506133515614000,ref_26842708
,es_20200506133515614000,ref_29433555
,es_20200506133515614000,ref_25510282
,es_20200422163709813817,ref_30835257
,es_20200422163709813817,ref_31285551
,es_20200422163709813817,ref_27810072
,es_20200422163709813817,ref_29203461
,es_20200422163709813817,ref_28978120
,es_20200422163709813817,ref_30314519
,es_20200422163709813817,ref_21577205
,es_20200422163612016533,ref_21993851
,es_20200422163612016533,ref_23495171
,es_20200422163629728934,ref_28539463
,es_20200422163625801139,ref_26850833
,es_20200422163625801139,ref_27513329
,es_20200422163625801139,ref_26075074
,es_20200422163625801139,ref_30921768
,es_20200422163630239312,ref_28595267
,es_20200422163630239312,ref_29567472
,es_20200422163630239312,ref_30814741
,es_20200422163635335615,ref_24164298
,es_20200422163635335615,ref_24206133
,es_20200422163635335615,ref_27813335
,es_20200422163637748323,ref_25237197
,es_20200422163637748323,ref_26822949
,es_20200422163637748323,ref_27145721
,es_20200422163637748323,ref_24905007
,es_20200422163650105919,ref_28073943
,es_20200422163650105919,ref_24349617
,es_20200422163654723354,ref_17326240
,es_20200422163651052283,ref_26314551
,es_20200422163651052283,ref_17714910
,es_20200422163640461286,ref_30384365
,es_20200422163640461286,ref_29656892
,es_20200422163640461286,ref_29058301
,es_20200422163640461286,ref_30588194
,es_20200422163652130566,ref_25795425
,es_20200422163708358240,ref_28659384
,es_20200422163708358240,ref_29911972
,es_20200422163708358240,ref_30889380
,es_20200422163653770665,ref_28486112
,es_20200422163653770665,ref_29203461
,es_20200422163642483342,ref_26754925
,es_20200422163642483342,ref_25465722
,es_20200422163642483342,ref_28487934
,es_20200422163642483342,ref_25199534
,es_20200422163642483342,ref_28617974
,es_20200422163642483342,ref_28454329
,es_20200422163642483342,ref_28370690
,es_20200422163706603151,ref_25075022
,es_20200422163706603151,ref_20646346
,es_20200422163706603151,ref_16625838
,es_20200422163706603151,ref_23991955
,es_20200422163656200721,ref_11416147
,es_20200422163656200721,ref_22197930
,es_20200422163656200721,ref_30290304
,es_20200422163716022425,ref_24169347
,es_20200422163716022425,ref_22025453
,es_20200422163715553488,ref_18075512
,es_20200422163739468085,ref_25743105
,es_20200422163739468085,ref_27942226
,es_20200422163739468085,ref_19812696
,es_20200422163739468085,ref_23493187
,es_20200422163717818898,ref_30563517
,es_20200422163717818898,ref_29449539
,es_20200422163717818898,ref_29151962
,es_20200422163717818898,ref_29342970
,es_20200422163717818898,ref_29439184
,es_20200422163935075160,ref_28112194
,es_20200422164002009855,ref_22927913
,es_20200422164002009855,ref_22805860
,es_20200422164002009855,ref_26998266
,es_20200422164002009855,ref_27509056
,es_20200422164002009855,ref_24581082
,es_20200422164002009855,ref_26045762
,es_20200422164002009855,ref_26191231
,es_20200422163744434770,ref_16314388
,es_20200422163744434770,ref_26905588
,es_20200422163744434770,ref_11689702
,es_20200422163746135263,ref_15077147
,es_20200422163829490051,ref_24746215
,es_20200422163829490051,ref_22577461
,es_20200422163829490051,ref_29163030
,es_20200422163829490051,ref_16847330
,es_20200422163829490051,ref_26068201
,es_20200422163746576532,ref_28486639
,es_20200422163746576532,ref_26676758
,es_20200422163746576532,ref_31819642
,es_20200422163742652300,ref_25557945
,es_20200422163742652300,ref_18579750
,es_20200422163800741266,ref_10959075
,es_20200422163800741266,ref_27283171
,es_20200422163800741266,ref_30562755
,es_20200422163754309938,ref_30205516
,es_20200422163754309938,ref_19519322
,es_20200422163754309938,ref_22302350
,es_20200422163754309938,ref_26663363
,es_20200422163754309938,ref_23915189
,es_20200422163818903341,ref_27180681
,es_20200422163818903341,ref_26541825
,es_20200422163747888509,ref_19270648
,es_20200422163747888509,ref_18204862
,es_20200422163747888509,ref_23897556
,es_20200422163747888509,ref_22612507
,es_20200422163747888509,ref_19377505
,es_20200422163802602305,ref_28521807
,es_20200422163802602305,ref_18409190
,es_20200422163802602305,ref_26138249
,es_20200422163759698833,ref_21453190
,es_20200422163759698833,ref_28011619
,es_20200506151149168000,ref_24083387
,es_20200506151149168000,ref_31477842
,es_20200508143415961000,ref_23396845
,es_20200526145651200000,ref_25550204
,es_20200526145651200000,ref_17003108
,es_20200526145651200000,ref_26506234
,es_20200526145651200000,ref_26245647
,es_20200526151247492000,ref_23850066
,es_20200527105328265000,ref_21235684
,es_20200422163838358975,ref_22279422
,es_20200422163838358975,ref_28849022
,es_20200422163854029926,ref_24190998
,es_20200422163854029926,ref_22912864
,es_20200422163847254328,ref_19996307
,es_20200422163850689009,ref_28782898
,es_20200422163850689009,ref_28577926
,es_20200422163847834991,ref_27298091
,es_20200422163905924533,ref_29736411
,es_20200422163905924533,ref_26374829
,es_20200422163855538784,ref_21482413
,es_20200422163855538784,ref_31671564
,es_20200422163855538784,ref_20001213
,es_20200422163900257636,ref_30691999
,es_20200422163900257636,ref_26717940
,es_20200422163900257636,ref_30884740
,es_20200422163858032523,ref_31164891
,es_20200422163858032523,ref_20095042
,es_20200422163858032523,ref_12194987
,es_20200422163858032523,ref_31493933
,es_20200422163858032523,ref_11384978
,es_20200422163857097707,ref_26314551
,es_20200422163857097707,ref_10884424
,es_20200422163855009068,ref_24736545
,es_20200422163903641529,ref_28827447
,es_20200422163903641529,ref_28687574
,es_20200422163903641529,ref_12776190
,es_20200422163903641529,ref_16943429
,es_20200422163903641529,ref_10898795
,es_20200422163906951224,ref_28783722
,es_20200422163906951224,ref_23943882
