field,editDate,editorId,graph_id
synonyms_jax_gene_2776,2020-06-04-11-54-58-936635,user_20200422163431232329,esl_20200604115458936635
synonyms_jax_gene_6670,2020-06-04-11-54-58-936661,user_20200422163431232329,esl_20200604115458936661
synonyms_jax_gene_580,2020-06-04-11-54-58-936688,user_20200422163431232329,esl_20200604115458936688
synonyms_jax_gene_4088,2020-06-04-11-54-58-936710,user_20200422163431232329,esl_20200604115458936710
synonyms_jax_gene_1859,2020-06-04-11-54-58-936739,user_20200422163431232329,esl_20200604115458936739
synonyms_jax_gene_10320,2020-06-04-11-54-58-936767,user_20200422163431232329,esl_20200604115458936767
synonyms_jax_gene_7124,2020-06-04-11-54-58-936800,user_20200422163431232329,esl_20200604115458936800
synonyms_jax_gene_4437,2020-06-04-11-54-58-936828,user_20200422163431232329,esl_20200604115458936828
synonyms_jax_gene_596,2020-06-04-11-54-58-936853,user_20200422163431232329,esl_20200604115458936853
synonyms_jax_gene_2625,2020-06-04-11-54-58-936877,user_20200422163431232329,esl_20200604115458936877
synonyms_jax_gene_4067,2020-06-04-11-54-58-936901,user_20200422163431232329,esl_20200604115458936901
synonyms_jax_gene_779,2020-06-04-11-54-58-936927,user_20200422163431232329,esl_20200604115458936927
synonyms_jax_gene_65220,2020-06-04-11-54-58-936958,user_20200422163431232329,esl_20200604115458936958
synonyms_jax_gene_9439,2020-06-04-11-54-58-936981,user_20200422163431232329,esl_20200604115458936981
synonyms_jax_gene_728118,2020-06-04-11-54-58-937012,user_20200422163431232329,esl_20200604115458937012
synonyms_jax_gene_23293,2020-06-04-11-54-58-937036,user_20200422163431232329,esl_20200604115458937036
synonyms_jax_gene_1009,2020-06-04-11-54-58-937298,user_20200422163431232329,esl_20200604115458937298
synonyms_jax_gene_4899,2020-06-04-11-54-58-937374,user_20200422163431232329,esl_20200604115458937374
synonyms_jax_gene_23047,2020-06-04-11-54-58-937400,user_20200422163431232329,esl_20200604115458937400
synonyms_jax_gene_9252,2020-06-04-11-54-58-937426,user_20200422163431232329,esl_20200604115458937426
synonyms_jax_gene_10232,2020-06-04-11-54-58-937453,user_20200422163431232329,esl_20200604115458937453
synonyms_jax_gene_607,2020-06-04-11-54-58-937478,user_20200422163431232329,esl_20200604115458937478
synonyms_jax_gene_8013,2020-06-04-11-54-58-937505,user_20200422163431232329,esl_20200604115458937505
synonyms_jax_gene_92359,2020-06-04-11-54-58-937534,user_20200422163431232329,esl_20200604115458937534
synonyms_jax_gene_6261,2020-06-04-11-54-58-937557,user_20200422163431232329,esl_20200604115458937557
synonyms_jax_gene_54896,2020-06-04-11-54-58-937587,user_20200422163431232329,esl_20200604115458937587
synonyms_jax_gene_3433,2020-06-04-11-54-58-937613,user_20200422163431232329,esl_20200604115458937613
synonyms_jax_gene_23552,2020-06-04-11-54-58-937689,user_20200422163431232329,esl_20200604115458937689
