name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonymsString_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
MUTYH,MUTYH,es_20200527105328265000,es_20200422174007073417,es_20200422174007073434,geneInfo_gene_4595,jax_gene_4595,uniprot_Q9UIF7,omnigene_4595
MSH2,MSH2,es_20200504162329483000,es_20200422173939768040,es_20200422173939768058,geneInfo_gene_4436,jax_gene_4436,uniprot_P43246,omnigene_4436
MST1,MST1,es_20200527102943643000,es_20200422173946200045,es_20200422173946200061,geneInfo_gene_4485,jax_gene_4485,uniprot_P26927,omnigene_4485
MSH3,MSH3,es_20200527100418397000,es_20200422173941755859,es_20200422173941755876,geneInfo_gene_4437,jax_gene_4437,uniprot_P20585,omnigene_4437
MYB,MYB,es_20200527105752901000,es_20200422174011914463,es_20200422174011914479,geneInfo_gene_4602,jax_gene_4602,uniprot_P10242,omnigene_4602
MSH6,MSH6,es_20200527100954653000,es_20200422173944238172,es_20200422173944238189,geneInfo_gene_2956,jax_gene_2956,uniprot_P52701,omnigene_2956
MX1,MX1,es_20200423071843538369,es_20200422174009851109,es_20200422174009851125,geneInfo_gene_4599,,uniprot_P20591,omnigene_4599
MTOR,MTOR,es_20200527103325439000,es_20200422174001098266,es_20200422174001098285,geneInfo_gene_2475,jax_gene_2475,uniprot_P42345,omnigene_2475
MYCN,MYCN,es_2020050810525473000,es_20200422174020190488,es_20200422174020190504,geneInfo_gene_4613,jax_gene_4613,uniprot_P04198,omnigene_4613
MYCL,MYCL1,es_20200507143656621000,es_20200422174018250907,es_20200422174018250924,geneInfo_gene_4610,jax_gene_4610,uniprot_P12524,omnigene_4610
NCOR1,NCOR1,es_20200527143729640000,es_20200422174044320243,es_20200422174044320262,geneInfo_gene_9611,jax_gene_9611,uniprot_O75376,omnigene_9611
MYC,MYC,es_20200505101021720000,es_20200422174014843626,es_20200422174014843644,geneInfo_gene_4609,jax_gene_4609,uniprot_P01106,omnigene_4609
MYOD1,MYOD1,es_20200527111014189000,es_20200422174035788677,es_20200422174035788693,geneInfo_gene_4654,jax_gene_4654,uniprot_P15172,omnigene_4654
MYD88,MYD88,es_20200508093345982000,es_20200422174027501184,es_20200422174027501202,geneInfo_gene_4615,jax_gene_4615,uniprot_Q99836,omnigene_4615
MYO18A,MYO18A,es_20200422174032134745,es_20200422174032134773,es_20200422174032134791,geneInfo_gene_399687,jax_gene_399687,uniprot_Q92614,omnigene_399687
NCOA3,NCOA3,es_20200527142940118000,es_20200422174041921169,es_20200422174041921185,geneInfo_gene_8202,jax_gene_8202,uniprot_Q9Y6Q9,omnigene_8202
NF1,NF1,es_20200430130244487000,es_20200422174048596181,es_20200422174048596197,geneInfo_gene_4763,jax_gene_4763,uniprot_P21359,omnigene_4763
