id,name,JaxGene_graph_id
,ACAT1,jax_gene_6646
,SOAT,jax_gene_6646
,STAT,jax_gene_6646
,H2A.X,jax_gene_3014
,H2A/X,jax_gene_3014
,H2AFX,jax_gene_3014
,FAAP43,jax_gene_55120
,PHF9,jax_gene_55120
,POG,jax_gene_55120
,JMJD2B,jax_gene_23030
,TDRD14B,jax_gene_23030
,AS,jax_gene_3106
,B-4901,jax_gene_3106
,HLAB,jax_gene_3106
,CT1.3,jax_gene_4102
,HIP8,jax_gene_4102
,HYPD,jax_gene_4102
,MAGE3,jax_gene_4102
,MAGEA6,jax_gene_4102
,RCC,jax_gene_7515
,SCAR26,jax_gene_7515
,C17orf39,jax_gene_79018
,VID2,jax_gene_79018
,VID24,jax_gene_79018
,MST091,jax_gene_7145
,MST122,jax_gene_7145
,MST127,jax_gene_7145
,MSTP091,jax_gene_7145
,MSTP122,jax_gene_7145
,MSTP127,jax_gene_7145
,MXRA6,jax_gene_7145
,PPP1R155,jax_gene_7145
,TNS,jax_gene_7145
,HSTF1,jax_gene_3297
,SS-4-R,jax_gene_6754
,SS4-R,jax_gene_6754
,SS4R,jax_gene_6754
,MEKK9,jax_gene_4293
,MLK1,jax_gene_4293
,PRKE1,jax_gene_4293
,CASC7,jax_gene_27161
,EIF2C2,jax_gene_27161
,LINC00980,jax_gene_27161
,PPD,jax_gene_27161
,Q10,jax_gene_27161
,API4,jax_gene_332
,EPR-1,jax_gene_332
,CDHF15,jax_gene_120114
,CDHR10,jax_gene_120114
,hFat3,jax_gene_120114
,BDPLT16,jax_gene_3690
,BDPLT2,jax_gene_3690
,CD61,jax_gene_3690
,GP3A,jax_gene_3690
,GPIIIa,jax_gene_3690
,GT,jax_gene_3690
,CTB-1144G6.4,jax_gene_84632
,KIAA1914,jax_gene_84632
,XB130,jax_gene_84632
,FGFR1OP,jax_gene_11116
,FOP,jax_gene_11116
,JNK-55,jax_gene_5601
,JNK2,jax_gene_5601
,JNK2A,jax_gene_5601
,JNK2ALPHA,jax_gene_5601
,JNK2B,jax_gene_5601
,JNK2BETA,jax_gene_5601
,p54a,jax_gene_5601
,p54aSAPK,jax_gene_5601
,PRKM9,jax_gene_5601
,SAPK,jax_gene_5601
,SAPK1a,jax_gene_5601
,bHLHb20,jax_gene_6938
,CRS3,jax_gene_6938
,HEB,jax_gene_6938
,HsT17266,jax_gene_6938
,HTF4,jax_gene_6938
,p64,jax_gene_6938
,TCF-12,jax_gene_6938
,Mt-SSB,jax_gene_6742
,mtSSB,jax_gene_6742
,SOSS-B1,jax_gene_6742
,SSBP,jax_gene_6742
,ETF,jax_gene_8463
,TEAD-2,jax_gene_8463
,TEF-4,jax_gene_8463
,TEF4,jax_gene_8463
,BTPS2,jax_gene_324
,DP2,jax_gene_324
,DP2.5,jax_gene_324
,DP3,jax_gene_324
,GS,jax_gene_324
,PPP1R46,jax_gene_324
,CVID12,jax_gene_4790
,EBP-1,jax_gene_4790
,KBF1,jax_gene_4790
,NF-kappa-B1,jax_gene_4790
,NF-kappaB,jax_gene_4790
,NF-kB,jax_gene_4790
,NF-kB1,jax_gene_4790
,NFkappaB,jax_gene_4790
,NFKB-p105,jax_gene_4790
,NFKB-p50,jax_gene_4790
,p105,jax_gene_4790
,p50,jax_gene_4790
,CAP-Rf,jax_gene_1654
,DBX,jax_gene_1654
,DDX14,jax_gene_1654
,DDX3,jax_gene_1654
,HLP2,jax_gene_1654
,MRX102,jax_gene_1654
,TOP2,jax_gene_7153
,TP2A,jax_gene_7153
,COII,jax_gene_4513
,MTCO2,jax_gene_4513
,TRDX,jax_gene_7295
,TRX,jax_gene_7295
,TRX1,jax_gene_7295
,erg-3,jax_gene_2078
,p55,jax_gene_2078
,F730038I15Rik,jax_gene_23533
,FOAP-2,jax_gene_23533
,p101,jax_gene_23533
,P101-PI3K,jax_gene_23533
,COE1,jax_gene_1879
,EBF,jax_gene_1879
,O/E-1,jax_gene_1879
,OLF1,jax_gene_1879
,ABP620,jax_gene_23499
,ACF7,jax_gene_23499
,LIS9,jax_gene_23499
,MACF,jax_gene_23499
,OFC4,jax_gene_23499
,ALPHATFEB,jax_gene_7942
,BHLHE35,jax_gene_7942
,TCFEB,jax_gene_7942
,CD66e,jax_gene_1048
,CEA,jax_gene_1048
,CADTK,jax_gene_2185
,CAKB,jax_gene_2185
,FADK2,jax_gene_2185
,FAK2,jax_gene_2185
,PKB,jax_gene_2185
,PTK,jax_gene_2185
,PYK2,jax_gene_2185
,RAFTK,jax_gene_2185
,PI3K-C2-gamma,jax_gene_5288
,PI3K-C2GAMMA,jax_gene_5288
,LRP-1B,jax_gene_53353
,LRP-DIT,jax_gene_53353
,LRPDIT,jax_gene_53353
,RNF73,jax_gene_56852
,CAP,jax_gene_23476
,HUNK1,jax_gene_23476
,HUNKI,jax_gene_23476
,MCAP,jax_gene_23476
,ANOP2,jax_gene_54880
,MAA2,jax_gene_54880
,MCOPS2,jax_gene_54880
,AGTRL1,jax_gene_187
,APJ,jax_gene_187
,APJR,jax_gene_187
,HG11,jax_gene_187
,NEDCPMD,jax_gene_23114
,NF,jax_gene_23114
,NRCAML,jax_gene_23114
,HCN,jax_gene_378938
,LINC00047,jax_gene_378938
,NCRNA00047,jax_gene_378938
,NEAT2,jax_gene_378938
,PRO2853,jax_gene_378938
,C11orf59,jax_gene_55004
,p18,jax_gene_55004
,p27RF-Rho,jax_gene_55004
,PDRO,jax_gene_55004
,Ragulator1,jax_gene_55004
,CDC68,jax_gene_11198
,FACTP140,jax_gene_11198
,SPT16,jax_gene_11198
,SPT16/CDC68,jax_gene_11198
,BBDS,jax_gene_2263
,BEK,jax_gene_2263
,BFR-1,jax_gene_2263
,CD332,jax_gene_2263
,CEK3,jax_gene_2263
,CFD1,jax_gene_2263
,ECT1,jax_gene_2263
,JWS,jax_gene_2263
,K-SAM,jax_gene_2263
,KGFR,jax_gene_2263
,TK14,jax_gene_2263
,TK25,jax_gene_2263
